行/列,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64
37,,,,,,,H18,G3,G4,G3,G3,G16,G16,G16,G16,G16,G16,G16,G16,G16,G16,G16,G3,G3,G3,G3,G3,G9,G9,G9,G9,G9,G9,G9,G9,G9,G3,G3,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G3,G9,M9,G4,,,,,,,,
38,,,,,,,H18,H18,,H18,G3,G16,G16,G16,G16,G16,G16,G16,G16,G16,G16,G16,G16,G3,G3,G3,G3,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G3,G3,G9,G3,H18,,,,,,,
39,,,,,,,,,,A1,G3,G3,G16,G16,G16,G16,G16,G16,G16,G16,G16,G3,G3,G3,G3,G3,G3,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G3,G3,G4,G4,G3,,,,,,,
40,,,,,,,,H18,G3,M9,G3,G3,G16,G16,G16,G16,G16,G16,G16,G16,G16,G3,G3,G3,G3,G3,G3,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G3,G3,G3,G3,,,,,,,
41,,,,,,,,H18,H18,H1,G3,G3,G16,G16,G16,G16,G16,G16,G16,G16,G16,G16,G3,G3,G3,G3,G3,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G3,G3,G3,G3,G3,,,,,,
42,,,,,,,,,A1,G3,G3,G16,G16,G16,G16,G16,G16,G16,G16,G16,G16,G16,G3,G3,G3,G3,G3,G3,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G3,G3,G3,A1,,,,,,
43,,,,,,,,A1,G3,G16,G4,G16,G16,G16,G16,G16,G16,G16,G16,G16,G16,G3,G3,G3,G3,G3,G3,G3,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G3,G9,G16,,,,,,,
44,,,,,,,,,,G8,G4,G16,G16,G16,G16,G16,G16,G16,G16,G16,G16,G3,G3,G3,G3,G3,G3,G3,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G3,M9,G8,H18,,,,,,
45,,,,,,,,,G4,G14,H18,G16,G16,G16,G16,G16,G16,G16,G16,G16,G16,G16,G3,G3,G3,G3,G3,G3,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,A1,G4,G8,H18,,,,,
46,,,,,,,,,G8,G3,A1,M9,G16,G16,G16,G16,G16,G16,G16,G16,G16,G16,G3,G3,G3,G3,G3,G3,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G14,G16,G4,G4,,,,,
47,,,,,,,,,G14,,G3,G8,A1,G16,G16,G16,G16,G16,G16,G16,G16,G16,G3,G3,G3,G3,G3,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G4,G8,G16,A1,A1,,,,
48,,,,,,,,,,,M9,M9,A1,G16,G16,G16,G16,G16,G16,G16,G16,G16,G3,G3,G3,G3,G3,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G3,M9,G8,G11,A1,,,,
